Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,3418,,,Total Duration(ms)
2019-05-22T12:05:37.796-0400,215,312,75,604,,,,,,,,,580
2019-05-22T12:05:38.401-0400,189,1065,104,1363,,,,,,,,,580
2019-05-22T12:05:39.764-0400,230,312,130,674,,,,,,,,,580
2019-05-22T12:05:40.439-0400,161,269,68,511,,,,,,,,,580
2019-05-22T12:05:40.950-0400,165,293,61,520,,,,,,,,,581
2019-05-22T12:05:41.470-0400,267,683,84,1089,,,,,,,,,581
2019-05-22T12:05:42.560-0400,178,317,64,560,,,,,,,,,581
2019-05-22T12:05:43.121-0400,193,303,70,568,,,,,,,,,581
2019-05-22T12:05:43.689-0400,209,323,65,598,,,,,,,,,581
2019-05-22T12:05:44.288-0400,221,676,72,973,,,,,,,,,581
2019-05-22T12:05:45.262-0400,591,283,63,939,,,,,,,,,581
2019-05-22T12:05:46.202-0400,228,348,61,638,,,,,,,,,581
2019-05-22T12:05:46.840-0400,235,772,97,1106,,,,,,,,,581
2019-05-22T12:05:47.946-0400,230,490,81,804,,,,,,,,,582
2019-05-22T12:05:48.751-0400,279,312,128,720,,,,,,,,,582
2019-05-22T12:05:49.472-0400,197,841,82,1122,,,,,,,,,582
2019-05-22T12:05:50.595-0400,205,424,78,709,,,,,,,,,582
2019-05-22T12:05:51.304-0400,242,349,72,665,,,,,,,,,582
2019-05-22T12:05:51.970-0400,179,1431,78,1693,,,,,,,,,582
2019-05-22T12:05:53.663-0400,221,415,93,733,,,,,,,,,583
2019-05-22T12:05:54.397-0400,239,1024,81,1353,,,,,,,,,583
2019-05-22T12:05:55.750-0400,307,441,91,846,,,,,,,,,583
2019-05-22T12:05:56.596-0400,240,436,97,776,,,,,,,,,583
2019-05-22T12:05:57.373-0400,212,909,91,1218,,,,,,,,,584
2019-05-22T12:05:58.591-0400,245,477,71,797,,,,,,,,,584
2019-05-22T12:05:59.389-0400,202,458,59,720,,,,,,,,,584
2019-05-22T12:06:00.109-0400,204,624,79,913,,,,,,,,,584
2019-05-22T12:06:01.023-0400,803,380,90,1279,,,,,,,,,584
2019-05-22T12:06:02.303-0400,181,289,76,547,,,,,,,,,584
2019-05-22T12:06:02.851-0400,217,653,118,991,,,,,,,,,585
2019-05-22T12:06:03.842-0400,196,335,65,601,,,,,,,,,585
2019-05-22T12:06:04.443-0400,178,599,63,842,,,,,,,,,585
2019-05-22T12:06:05.285-0400,177,665,97,947,,,,,,,,,585
2019-05-22T12:06:06.233-0400,245,362,131,743,,,,,,,,,585
2019-05-22T12:06:06.977-0400,223,512,87,824,,,,,,,,,585
2019-05-22T12:06:07.801-0400,267,876,84,1230,,,,,,,,,585
2019-05-22T12:06:09.031-0400,217,512,90,820,,,,,,,,,586
2019-05-22T12:06:09.852-0400,199,526,87,814,,,,,,,,,586
2019-05-22T12:06:10.667-0400,239,632,93,966,,,,,,,,,586
2019-05-22T12:06:11.634-0400,230,457,74,764,,,,,,,,,586
2019-05-22T12:06:12.398-0400,202,541,82,830,,,,,,,,,586
2019-05-22T12:06:13.228-0400,216,720,79,1017,,,,,,,,,586
2019-05-22T12:06:14.246-0400,236,500,100,840,,,,,,,,,586
2019-05-22T12:06:15.087-0400,206,508,103,1416,,,,,,,,,586
2019-05-22T12:06:16.503-0400,153,295,60,517,,,,,,,,,586
2019-05-22T12:06:17.021-0400,156,290,64,511,,,,,,,,,586
2019-05-22T12:06:17.533-0400,194,270,64,529,,,,,,,,,586
2019-05-22T12:06:18.063-0400,179,293,67,541,,,,,,,,,586
2019-05-22T12:06:18.605-0400,198,585,76,864,,,,,,,,,587
2019-05-22T12:06:19.469-0400,244,492,78,821,,,,,,,,,587
2019-05-22T12:06:20.291-0400,261,366,68,697,,,,,,,,,587
2019-05-22T12:06:20.988-0400,299,862,87,1259,,,,,,,,,587
2019-05-22T12:06:22.247-0400,258,326,61,647,,,,,,,,,588
2019-05-22T12:06:22.895-0400,200,310,56,568,,,,,,,,,588
2019-05-22T12:06:23.464-0400,224,1126,90,1442,,,,,,,,,588
2019-05-22T12:06:24.906-0400,307,527,80,920,,,,,,,,,588
2019-05-22T12:06:25.826-0400,231,440,67,741,,,,,,,,,588
2019-05-22T12:06:26.568-0400,181,728,87,997,,,,,,,,,588
2019-05-22T12:06:27.565-0400,236,494,78,819,,,,,,,,,588
2019-05-22T12:06:28.385-0400,217,379,62,672,,,,,,,,,589
2019-05-22T12:06:29.057-0400,194,885,85,1166,,,,,,,,,589
2019-05-22T12:06:30.224-0400,277,663,88,1032,,,,,,,,,589
2019-05-22T12:06:31.257-0400,314,353,84,753,,,,,,,,,590
2019-05-22T12:06:32.010-0400,294,602,103,1001,,,,,,,,,590
2019-05-22T12:06:33.012-0400,256,455,80,793,,,,,,,,,590
2019-05-22T12:06:33.805-0400,212,523,94,833,,,,,,,,,590
2019-05-22T12:06:34.639-0400,206,599,83,890,,,,,,,,,590
2019-05-22T12:06:35.529-0400,287,3385,61,3735,,,,,,,,,590
2019-05-22T12:06:39.264-0400,198,296,84,581,,,,,,,,,591
2019-05-22T12:06:39.846-0400,538,613,83,1236,,,,,,,,,591
2019-05-22T12:06:41.083-0400,255,474,75,806,,,,,,,,,591
2019-05-22T12:06:41.889-0400,244,481,154,881,,,,,,,,,591
2019-05-22T12:06:42.770-0400,212,772,92,1078,,,,,,,,,591
2019-05-22T12:06:43.849-0400,245,306,61,614,,,,,,,,,591
2019-05-22T12:06:44.463-0400,234,356,60,658,,,,,,,,,591
2019-05-22T12:06:45.122-0400,191,908,70,1173,,,,,,,,,592
2019-05-22T12:06:46.295-0400,273,333,72,679,,,,,,,,,592
2019-05-22T12:06:46.975-0400,215,314,95,625,,,,,,,,,592
2019-05-22T12:06:47.601-0400,217,321,75,614,,,,,,,,,592
2019-05-22T12:06:48.215-0400,213,652,84,952,,,,,,,,,592
2019-05-22T12:06:49.167-0400,246,357,509,1121,,,,,,,,,592
2019-05-22T12:06:50.289-0400,268,354,70,693,,,,,,,,,592
2019-05-22T12:06:50.982-0400,219,537,109,918,,,,,,,,,592
2019-05-22T12:06:51.900-0400,218,318,57,596,,,,,,,,,592
2019-05-22T12:06:52.497-0400,202,390,61,655,,,,,,,,,592
2019-05-22T12:06:53.152-0400,233,1021,66,1322,,,,,,,,,593
2019-05-22T12:06:54.475-0400,189,381,378,950,,,,,,,,,593
2019-05-22T12:06:55.425-0400,303,353,108,774,,,,,,,,,593
2019-05-22T12:06:56.200-0400,189,722,3285,4198,,,,,,,,,593
2019-05-22T12:07:00.398-0400,186,480,74,742,,,,,,,,,593
2019-05-22T12:07:01.141-0400,248,1209,87,1546,,,,,,,,,593
2019-05-22T12:07:02.687-0400,264,466,855,1587,,,,,,,,,593
2019-05-22T12:07:04.275-0400,214,873,81,1172,,,,,,,,,593
2019-05-22T12:07:05.448-0400,231,336,237,811,,,,,,,,,593
2019-05-22T12:07:06.259-0400,229,464,514,1209,,,,,,,,,594
2019-05-22T12:07:07.469-0400,175,357,156,694,,,,,,,,,594
2019-05-22T12:07:08.164-0400,222,459,72,757,,,,,,,,,594
2019-05-22T12:07:08.921-0400,210,356,61,628,,,,,,,,,594
2019-05-22T12:07:09.549-0400,208,1135,88,1433,,,,,,,,,594
2019-05-22T12:07:10.982-0400,312,417,104,835,,,,,,,,,594
2019-05-22T12:07:11.818-0400,223,309,241,774,,,,,,,,,595
2019-05-22T12:07:12.592-0400,190,877,108,1179,,,,,,,,,595
2019-05-22T12:07:13.772-0400,219,382,104,708,,,,,,,,,595
2019-05-22T12:07:14.480-0400,184,303,61,552,,,,,,,,,595
2019-05-22T12:07:15.033-0400,181,1105,88,1376,,,,,,,,,595
2019-05-22T12:07:16.409-0400,300,430,109,841,,,,,,,,,595
2019-05-22T12:07:17.251-0400,220,487,92,801,,,,,,,,,595
2019-05-22T12:07:18.053-0400,231,800,1214,2253,,,,,,,,,595
2019-05-22T12:07:20.306-0400,287,311,147,750,,,,,,,,,595
2019-05-22T12:07:21.057-0400,189,606,954,1752,,,,,,,,,595
2019-05-22T12:07:22.809-0400,210,468,85,765,,,,,,,,,596
2019-05-22T12:07:23.575-0400,225,626,111,974,,,,,,,,,596
2019-05-22T12:07:24.550-0400,231,450,90,820,,,,,,,,,596
2019-05-22T12:07:25.370-0400,291,307,68,670,,,,,,,,,596
2019-05-22T12:07:26.041-0400,201,932,87,1227,,,,,,,,,596
2019-05-22T12:07:27.268-0400,257,339,57,663,,,,,,,,,596
2019-05-22T12:07:27.931-0400,173,312,235,735,,,,,,,,,596
2019-05-22T12:07:28.667-0400,273,801,103,1179,,,,,,,,,596
2019-05-22T12:07:29.847-0400,200,392,92,701,,,,,,,,,596
2019-05-22T12:07:30.548-0400,288,336,195,824,,,,,,,,,596
2019-05-22T12:07:31.373-0400,235,799,90,1166,,,,,,,,,596
2019-05-22T12:07:32.539-0400,326,354,111,793,,,,,,,,,597
2019-05-22T12:07:33.332-0400,189,344,70,606,,,,,,,,,597
2019-05-22T12:07:33.939-0400,213,715,85,1017,,,,,,,,,597
2019-05-22T12:07:34.956-0400,250,569,105,931,,,,,,,,,597
2019-05-22T12:07:35.887-0400,225,305,73,606,,,,,,,,,597
2019-05-22T12:07:36.494-0400,188,939,82,1213,,,,,,,,,598
2019-05-22T12:07:37.708-0400,376,304,85,770,,,,,,,,,598
