Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,6572
2019-05-23T20:20:41.827-0400,298,264,142,715,,,,,,
2019-05-23T20:20:42.542-0400,297,292,146,750,,,,,,
2019-05-23T20:20:43.293-0400,294,438,163,910,,,,,,
2019-05-23T20:20:44.204-0400,284,376,134,796,,,,,,
2019-05-23T20:20:45.001-0400,287,293,143,742,,,,,,
2019-05-23T20:20:45.764-0400,282,332,145,767,,,,,,
2019-05-23T20:20:46.532-0400,272,269,130,672,,,,,,
2019-05-23T20:20:47.204-0400,297,286,139,723,,,,,,
2019-05-23T20:20:47.928-0400,268,281,124,674,,,,,,
2019-05-23T20:20:48.602-0400,306,221,149,688,,,,,,
2019-05-23T20:20:49.291-0400,290,273,129,692,,,,,,
2019-05-23T20:20:49.984-0400,277,310,132,721,,,,,,
2019-05-23T20:20:50.706-0400,293,263,129,687,,,,,,
2019-05-23T20:20:51.393-0400,305,264,130,701,,,,,,
2019-05-23T20:20:52.094-0400,267,265,139,681,,,,,,
2019-05-23T20:20:52.775-0400,275,373,129,779,,,,,,
2019-05-23T20:20:53.554-0400,294,357,129,782,,,,,,
2019-05-23T20:20:54.337-0400,290,545,163,999,,,,,,
2019-05-23T20:20:55.336-0400,294,288,130,713,,,,,,
2019-05-23T20:20:56.050-0400,270,296,149,716,,,,,,
2019-05-23T20:20:56.766-0400,369,291,136,804,,,,,,
2019-05-23T20:20:57.571-0400,275,95,21,392,,,,,,
2019-05-23T20:20:57.963-0400,429,347,137,927,,,,,,
2019-05-23T20:20:58.890-0400,297,312,128,739,,,,,,
2019-05-23T20:20:59.630-0400,286,255,127,669,,,,,,
2019-05-23T20:21:00.299-0400,367,308,133,817,,,,,,
2019-05-23T20:21:01.117-0400,416,255,132,812,,,,,,
2019-05-23T20:21:01.929-0400,287,271,138,697,,,,,,
2019-05-23T20:21:02.627-0400,297,252,136,696,,,,,,
2019-05-23T20:21:03.324-0400,284,446,149,881,,,,,,
2019-05-23T20:21:04.205-0400,288,277,140,715,,,,,,
2019-05-23T20:21:04.921-0400,275,330,147,754,,,,,,
2019-05-23T20:21:05.675-0400,289,249,129,668,,,,,,
2019-05-23T20:21:06.344-0400,309,232,137,680,,,,,,
2019-05-23T20:21:07.024-0400,295,280,126,712,,,,,,
2019-05-23T20:21:07.737-0400,268,226,145,655,,,,,,
2019-05-23T20:21:08.392-0400,302,268,134,714,,,,,,
2019-05-23T20:21:09.106-0400,341,292,136,771,,,,,,
2019-05-23T20:21:09.878-0400,283,329,126,749,,,,,,
2019-05-23T20:21:10.627-0400,300,333,143,778,,,,,,
2019-05-23T20:21:11.406-0400,299,246,140,696,,,,,,
2019-05-23T20:21:12.102-0400,285,287,141,714,,,,,,
2019-05-23T20:21:12.817-0400,294,242,165,714,,,,,,
2019-05-23T20:21:13.532-0400,300,233,138,672,,,,,,
2019-05-23T20:21:14.205-0400,300,242,139,692,,,,,,
2019-05-23T20:21:14.897-0400,293,340,143,778,,,,,,
2019-05-23T20:21:15.676-0400,282,387,144,826,,,,,,
2019-05-23T20:21:16.503-0400,305,237,141,686,,,,,,
2019-05-23T20:21:17.189-0400,299,287,144,736,,,,,,
2019-05-23T20:21:17.926-0400,288,270,135,708,,,,,,
2019-05-23T20:21:18.634-0400,288,288,132,721,,,,,,
2019-05-23T20:21:19.355-0400,284,105,22,413,,,,,,
2019-05-23T20:21:19.769-0400,290,238,139,668,,,,,,
2019-05-23T20:21:20.437-0400,304,268,142,727,,,,,,
2019-05-23T20:21:21.164-0400,360,245,156,772,,,,,,
2019-05-23T20:21:21.937-0400,310,258,203,773,,,,,,
2019-05-23T20:21:22.710-0400,279,309,160,761,,,,,,
2019-05-23T20:21:23.472-0400,304,286,140,732,,,,,,
2019-05-23T20:21:24.205-0400,283,224,124,631,,,,,,
2019-05-23T20:21:24.837-0400,307,765,161,1234,,,,,,
2019-05-23T20:21:26.071-0400,435,96,22,555,,,,,,
2019-05-23T20:21:26.626-0400,294,102,22,419,,,,,,
2019-05-23T20:21:27.045-0400,291,280,461,1041,,,,,,
2019-05-23T20:21:28.087-0400,348,352,130,831,,,,,,
2019-05-23T20:21:28.919-0400,290,384,144,820,,,,,,
2019-05-23T20:21:29.739-0400,291,273,121,686,,,,,,
2019-05-23T20:21:30.425-0400,279,269,128,678,,,,,,
2019-05-23T20:21:31.103-0400,278,270,141,690,,,,,,
2019-05-23T20:21:31.794-0400,273,342,130,746,,,,,,
2019-05-23T20:21:32.540-0400,308,308,136,764,,,,,,
2019-05-23T20:21:33.305-0400,293,280,142,726,,,,,,
2019-05-23T20:21:34.031-0400,273,305,118,698,,,,,,
2019-05-23T20:21:34.730-0400,292,278,130,701,,,,,,
2019-05-23T20:21:35.431-0400,297,268,151,732,,,,,,
2019-05-23T20:21:36.164-0400,284,303,137,736,,,,,,
2019-05-23T20:21:36.901-0400,286,235,146,676,,,,,,
2019-05-23T20:21:37.578-0400,300,222,132,668,,,,,,
2019-05-23T20:21:38.246-0400,294,291,142,739,,,,,,
2019-05-23T20:21:38.986-0400,287,286,129,704,,,,,,
2019-05-23T20:21:39.690-0400,290,215,129,636,,,,,,
2019-05-23T20:21:40.326-0400,307,294,139,742,,,,,,
2019-05-23T20:21:41.068-0400,303,313,142,770,,,,,,
2019-05-23T20:21:41.839-0400,292,103,24,421,,,,,,
2019-05-23T20:21:42.261-0400,270,241,126,649,,,,,,
2019-05-23T20:21:42.911-0400,285,291,140,717,,,,,,
2019-05-23T20:21:43.628-0400,473,279,314,1068,,,,,,
2019-05-23T20:21:44.696-0400,302,234,139,688,,,,,,
2019-05-23T20:21:45.384-0400,314,277,147,739,,,,,,
2019-05-23T20:21:46.139-0400,296,231,129,667,,,,,,
2019-05-23T20:21:46.806-0400,276,214,131,622,,,,,,
2019-05-23T20:21:47.429-0400,301,259,137,709,,,,,,
2019-05-23T20:21:48.138-0400,280,218,139,639,,,,,,
2019-05-23T20:21:48.777-0400,274,247,130,653,,,,,,
2019-05-23T20:21:49.431-0400,314,240,142,710,,,,,,
2019-05-23T20:21:50.141-0400,287,288,132,709,,,,,,
2019-05-23T20:21:50.851-0400,282,232,145,659,,,,,,
2019-05-23T20:21:51.511-0400,292,334,267,895,,,,,,
2019-05-23T20:21:52.406-0400,291,448,137,877,,,,,,
2019-05-23T20:21:53.283-0400,298,485,163,959,,,,,,
2019-05-23T20:21:54.243-0400,427,403,133,977,,,,,,
2019-05-23T20:21:55.220-0400,301,567,139,1026,,,,,,
2019-05-23T20:21:56.247-0400,282,265,137,702,,,,,,
2019-05-23T20:21:57.071-0400,299,248,148,703,,,,,,
2019-05-23T20:21:57.774-0400,284,308,120,713,,,,,,
2019-05-23T20:21:58.488-0400,276,229,129,635,,,,,,
2019-05-23T20:21:59.124-0400,285,227,133,656,,,,,,
2019-05-23T20:21:59.781-0400,347,238,216,803,,,,,,
2019-05-23T20:22:00.584-0400,523,332,146,1015,,,,,,
2019-05-23T20:22:01.600-0400,272,230,129,632,,,,,,
2019-05-23T20:22:02.233-0400,275,234,142,664,,,,,,
2019-05-23T20:22:02.897-0400,271,271,143,700,,,,,,
2019-05-23T20:22:03.598-0400,270,371,123,774,,,,,,
2019-05-23T20:22:04.373-0400,263,99,18,381,,,,,,
2019-05-23T20:22:04.754-0400,275,285,129,704,,,,,,
2019-05-23T20:22:05.458-0400,296,298,137,733,,,,,,
2019-05-23T20:22:06.192-0400,279,301,134,715,,,,,,
2019-05-23T20:22:06.907-0400,303,271,191,780,,,,,,
2019-05-23T20:22:07.688-0400,272,293,144,718,,,,,,
2019-05-23T20:22:08.407-0400,309,96,20,425,,,,,,
2019-05-23T20:22:08.833-0400,269,338,131,740,,,,,,
