Start time,IFrame Retrieval(ms),Credential Check(ms),Token Retrieval(ms),Total Duration(ms),,,,,,
2019-05-23T09:57:14.867-0400,227,325,74,628,,,,,,
2019-05-23T09:57:15.495-0400,236,806,106,1190,,,,,,
2019-05-23T09:57:16.686-0400,247,261,145,655,,,,,,
2019-05-23T09:57:17.341-0400,222,423,112,771,,,,,,
2019-05-23T09:57:18.113-0400,238,661,154,1058,,,,,,
2019-05-23T09:57:19.171-0400,197,349,75,628,,,,,,
2019-05-23T09:57:19.800-0400,189,288,61,539,,,,,,
2019-05-23T09:57:20.339-0400,202,306,77,590,,,,,,
2019-05-23T09:57:20.929-0400,225,418,84,734,,,,,,
2019-05-23T09:57:21.664-0400,294,429,98,822,,,,,,
2019-05-23T09:57:22.487-0400,216,510,112,844,,,,,,
2019-05-23T09:57:23.331-0400,259,380,194,836,,,,,,
2019-05-23T09:57:24.167-0400,246,437,74,760,,,,,,
2019-05-23T09:57:24.928-0400,280,345,96,723,,,,,,
2019-05-23T09:57:25.651-0400,257,781,98,1137,,,,,,
2019-05-23T09:57:26.788-0400,251,366,107,730,,,,,,
2019-05-23T09:57:27.519-0400,244,278,69,592,,,,,,
2019-05-23T09:57:28.111-0400,230,630,75,938,,,,,,
2019-05-23T09:57:29.050-0400,270,312,68,658,,,,,,
2019-05-23T09:57:29.709-0400,265,340,62,668,,,,,,
2019-05-23T09:57:30.377-0400,227,275,179,694,,,,,,
2019-05-23T09:57:31.071-0400,274,300,78,657,,,,,,
2019-05-23T09:57:31.729-0400,309,235,71,617,,,,,,
2019-05-23T09:57:32.346-0400,230,319,63,616,,,,,,
2019-05-23T09:57:32.963-0400,211,313,120,646,,,,,,
2019-05-23T09:57:33.609-0400,201,279,219,701,,,,,,
2019-05-23T09:57:34.311-0400,254,264,76,609,,,,,,
2019-05-23T09:57:34.920-0400,232,301,175,712,,,,,,
2019-05-23T09:57:35.633-0400,298,800,98,1197,,,,,,
2019-05-23T09:57:36.830-0400,335,263,122,807,,,,,,
2019-05-23T09:57:37.638-0400,312,357,80,758,,,,,,
2019-05-23T09:57:38.397-0400,300,590,66,968,,,,,,
2019-05-23T09:57:39.366-0400,250,492,84,828,,,,,,
2019-05-23T09:57:40.194-0400,280,348,79,710,,,,,,
2019-05-23T09:57:40.905-0400,196,606,106,908,,,,,,
2019-05-23T09:57:41.814-0400,262,356,62,693,,,,,,
2019-05-23T09:57:42.507-0400,211,300,401,913,,,,,,
2019-05-23T09:57:43.421-0400,289,695,100,1086,,,,,,
2019-05-23T09:57:44.508-0400,293,427,1079,1800,,,,,,
2019-05-23T09:57:46.308-0400,310,448,85,855,,,,,,
2019-05-23T09:57:47.164-0400,268,293,377,955,,,,,,
2019-05-23T09:57:48.119-0400,275,413,99,791,,,,,,
2019-05-23T09:57:48.911-0400,305,411,118,869,,,,,,
2019-05-23T09:57:49.781-0400,220,281,533,1039,,,,,,
2019-05-23T09:57:50.820-0400,311,850,74,1238,,,,,,
2019-05-23T09:57:52.058-0400,204,341,1174,1728,,,,,,
2019-05-23T09:57:53.786-0400,285,473,73,832,,,,,,
2019-05-23T09:57:54.619-0400,401,287,287,983,,,,,,
2019-05-23T09:57:55.602-0400,238,443,84,772,,,,,,
2019-05-23T09:57:56.374-0400,261,569,1090,1923,,,,,,
2019-05-23T09:57:58.298-0400,295,354,137,787,,,,,,
2019-05-23T09:57:59.085-0400,278,291,245,834,,,,,,
2019-05-23T09:57:59.920-0400,280,487,132,902,,,,,,
2019-05-23T09:58:00.822-0400,238,289,169,701,,,,,,
2019-05-23T09:58:01.524-0400,260,439,83,784,,,,,,
2019-05-23T09:58:02.309-0400,195,284,166,655,,,,,,
2019-05-23T09:58:02.964-0400,251,368,62,768,,,,,,
2019-05-23T09:58:03.732-0400,224,827,79,1132,,,,,,
2019-05-23T09:58:04.865-0400,283,456,83,824,,,,,,
2019-05-23T09:58:05.690-0400,259,358,151,770,,,,,,
2019-05-23T09:58:06.460-0400,235,482,309,1033,,,,,,
2019-05-23T09:58:07.493-0400,296,283,74,654,,,,,,
2019-05-23T09:58:08.148-0400,229,370,1520,2120,,,,,,
2019-05-23T09:58:10.269-0400,291,345,76,721,,,,,,
2019-05-23T09:58:10.991-0400,265,234,825,1325,,,,,,
2019-05-23T09:58:12.317-0400,264,498,110,874,,,,,,
2019-05-23T09:58:13.191-0400,248,316,1509,2076,,,,,,
2019-05-23T09:58:15.267-0400,266,332,63,663,,,,,,
2019-05-23T09:58:15.931-0400,223,255,300,780,,,,,,
2019-05-23T09:58:16.711-0400,353,366,68,789,,,,,,
2019-05-23T09:58:17.500-0400,234,470,101,806,,,,,,
2019-05-23T09:58:18.307-0400,314,405,99,822,,,,,,
2019-05-23T09:58:19.129-0400,293,387,276,957,,,,,,
2019-05-23T09:58:20.087-0400,228,301,85,628,,,,,,
2019-05-23T09:58:20.715-0400,241,296,484,1023,,,,,,
2019-05-23T09:58:21.739-0400,333,380,108,822,,,,,,
2019-05-23T09:58:22.561-0400,265,492,162,920,,,,,,
2019-05-23T09:58:23.481-0400,250,741,92,1086,,,,,,
2019-05-23T09:58:24.568-0400,186,509,117,815,,,,,,
2019-05-23T09:58:25.384-0400,213,276,75,565,,,,,,
2019-05-23T09:58:25.950-0400,210,292,58,562,,,,,,
2019-05-23T09:58:26.512-0400,159,543,92,799,,,,,,
2019-05-23T09:58:27.311-0400,223,500,90,816,,,,,,
2019-05-23T09:58:28.128-0400,334,492,89,918,,,,,,
2019-05-23T09:58:29.046-0400,265,459,88,813,,,,,,
2019-05-23T09:58:29.859-0400,342,496,127,966,,,,,,
